"GB_idx_st_s","_time","bytes_idx_st_s",index,"run_id",source,sourcetype
"0.000002913177013397217","2025-10-27T00:00:00.000-0700",3128,appapache,"10/27/2025:09:57:34","/var/log/cgi-logs/MP7YF","apache:access:combined"
"0.000007228925824165344","2025-10-27T00:00:00.000-0700",7762,appapache,"10/27/2025:09:57:34","/var/log/cgi-logs/MP7Z1","apache:access:combined"
"0.000004289671778678894","2025-10-27T00:00:00.000-0700",4606,appapache,"10/27/2025:09:57:34","/var/log/cgi-logs/MPQYN","apache:access:combined"
"0.0000014938414096832275","2025-10-26T00:00:00.000-0700",1604,appapache,"10/27/2025:09:57:34","/var/log/cgi-logs/MTBPA","apache:access:combined"
"0.0000014640390872955322","2025-10-27T00:00:00.000-0700",1572,appapache,"10/27/2025:09:57:34","/var/log/cgi-logs/MTBUU","apache:access:combined"
"0.000008643604815006256","2025-10-27T00:00:00.000-0700",9281,appapache,"10/27/2025:09:57:34","/var/log/cgi-logs/MTEST","apache:access:combined"
"0.000010241754353046417","2025-10-26T00:00:00.000-0700",10997,appapache,"10/27/2025:09:57:34","/var/log/cgi-logs/PY9HF","apache:access:combined"
"0.06643327046185732","2025-10-27T00:00:00.000-0700",71332181,appapache,"10/27/2025:09:57:34","/var/log/cgi-logs/Unkno","apache:access:combined"
"0.0000014761462807655334","2025-10-26T00:00:00.000-0700",1585,appapache,"10/27/2025:09:57:34","/var/log/cgi-logs/mptk4","apache:access:combined"
"0.9079930493608117","2025-10-26T00:00:00.000-0700",974950113,appapache,"10/27/2025:09:57:34","/var/log/httpd/access_log.20251026","apache:access:combined"
"0.7943789921700954","2025-10-27T00:00:00.000-0700",852957948,appapache,"10/27/2025:09:57:34","/var/log/httpd/access_log.20251027","apache:access:combined"
"0.0021743057295680046","2025-10-27T00:00:00.000-0700",2334643,appapache,"10/27/2025:09:57:34","/var/log/httpd/error_log","apache:error"
"8.163216336630285","2025-10-26T00:00:00.000-0700",8765186799,appapache,"10/27/2025:09:57:34","/var/log/FirstMileWeb/FirstMileWeb.log","app:FirstMileWeb"
"0.00035055819898843765","2025-10-26T00:00:00.000-0700",376409,appapache,"10/27/2025:09:57:34","/var/log/FirstMileWeb/FirstMileWeb.log.1-20251026","app:FirstMileWeb"
"0.00018000416457653046","2025-10-26T00:00:00.000-0700",193278,appapache,"10/27/2025:09:57:34","/var/log/CarLoyaltySmsProcessor/CarLoyaltySmsProcessor.log","app:car:loyalty:sms:processor"
"0.002260579727590084","2025-10-27T00:00:00.000-0700",2427279,appapache,"10/27/2025:09:57:34","/var/log/Firstdata/FirstdataServices_2021.log","app:firstdata"
"0.0010743597522377968","2025-10-26T00:00:00.000-0700",1153585,appapache,"10/27/2025:09:57:34","/var/log/nodejs/t2a-api-20251026.log","app:nodejs"
"0.0007995767518877983","2025-10-27T00:00:00.000-0700",858539,appapache,"10/27/2025:09:57:34","/var/log/nodejs/t2a-api-20251027.log","app:nodejs"
"0.011611128225922585","2025-10-26T00:00:00.000-0700",12467354,appapache,"10/27/2025:09:57:34","/var/log/nodejs/t2a-api_access.log","app:nodejs"
"0.0000009099021553993225","2025-10-26T00:00:00.000-0700",977,appapache,"10/27/2025:09:57:34","/var/log/nodejs/t2a-api_error.log","app:nodejs"
"0.0016688667237758636","2025-10-27T00:00:00.000-0700",1791932,apptango,"10/27/2025:09:57:34","C:\\Program Files\\Tronics Software\\TeraScript Server 7\\logs\\TeraScript7_1a\\TeraScript.log","app:tango"
"0.0011023366823792458","2025-10-26T00:00:00.000-0700",1183625,apptango,"10/27/2025:09:57:34","C:\\Program Files\\Tronics Software\\TeraScript Server 7\\logs\\TeraScript7_1b\\TeraScript.log","app:tango"
"0.00000012852251529693604","2025-10-27T00:00:00.000-0700",138,apptango,"10/27/2025:09:57:34","C:\\Program Files\\Tronics Software\\TeraScript Server 7\\logs\\TeraScript7_1b\\TeraScript_26-10-2025.log","app:tango"
"0.0014245528727769852","2025-10-27T00:00:00.000-0700",1529602,apptango,"10/27/2025:09:57:34","C:\\Program Files\\Tronics Software\\TeraScript Server 7\\logs\\TeraScript7_1c\\TeraScript.log","app:tango"
"0.00023886654525995255","2025-10-26T00:00:00.000-0700",256481,apptango,"10/27/2025:09:57:34","C:\\Program Files\\Tronics Software\\TeraScript Server 7\\logs\\TeraScript7_1d\\TeraScript.log","app:tango"
"0.00000010896474123001099","2025-10-27T00:00:00.000-0700",117,apptango,"10/27/2025:09:57:34","C:\\Program Files\\Tronics Software\\TeraScript Server 7\\logs\\TeraScript7_1d\\TeraScript_26-10-2025.log","app:tango"
"0.00028076302260160446","2025-10-26T00:00:00.000-0700",301467,apptango,"10/27/2025:09:57:34","C:\\Program Files\\Tronics Software\\TeraScript Server 7\\logs\\TeraScript7_2a\\TeraScript.log","app:tango"
"0.00000010896474123001099","2025-10-27T00:00:00.000-0700",117,apptango,"10/27/2025:09:57:34","C:\\Program Files\\Tronics Software\\TeraScript Server 7\\logs\\TeraScript7_2a\\TeraScript_26-10-2025.log","app:tango"
"0.0014623785391449928","2025-10-27T00:00:00.000-0700",1570217,apptango,"10/27/2025:09:57:34","C:\\Program Files\\Tronics Software\\TeraScript Server 7\\logs\\TeraScript7_2b\\TeraScript.log","app:tango"
